               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,             0.02138,            0.011631,                   0,             0.99954,                   1,               0.995,             0.85042,           0.0099751,           0.0035406,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.020261,            0.010674,                   0,             0.99954,                   1,               0.995,             0.85706,           0.0087424,           0.0038068,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.018889,            0.009843,                   0,             0.99952,                   1,               0.995,             0.85798,           0.0098243,           0.0039479,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.018859,            0.010414,                   0,             0.99951,                   1,               0.995,             0.87599,           0.0079997,           0.0036385,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.022825,            0.010271,                   0,             0.99954,                   1,               0.995,             0.81417,            0.010686,           0.0037013,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.020064,            0.010211,                   0,             0.99953,                   1,               0.995,             0.87524,            0.008315,           0.0034928,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.017777,            0.010658,                   0,             0.99942,                   1,               0.995,             0.86129,           0.0085577,           0.0033363,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.017775,            0.010329,                   0,             0.99933,                   1,               0.995,             0.86693,           0.0092971,           0.0033198,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.020601,            0.010677,                   0,             0.99958,                   1,               0.995,             0.86208,           0.0089302,            0.003444,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.019329,             0.01026,                   0,             0.99938,                   1,               0.995,             0.87297,           0.0088919,           0.0034783,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.017727,           0.0094341,                   0,             0.99943,                   1,               0.995,             0.86456,           0.0082473,           0.0033971,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.017513,           0.0099595,                   0,             0.99945,                   1,               0.995,             0.85964,           0.0092364,           0.0033219,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.018895,            0.010317,                   0,             0.99939,                   1,               0.995,             0.84941,             0.01018,           0.0033776,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.018772,            0.010115,                   0,             0.99929,                   1,               0.995,             0.86029,           0.0086343,           0.0034268,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.017298,            0.010002,                   0,             0.99945,                   1,               0.995,             0.84903,            0.008701,           0.0033713,                   0,            0.007921,            0.007921,            0.007921
                 107,             0.01882,             0.01032,                   0,             0.99951,                   1,               0.995,             0.85212,           0.0086967,            0.003255,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.022222,            0.010524,                   0,             0.99945,                   1,               0.995,             0.83912,            0.010183,           0.0031959,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.017407,            0.010184,                   0,              0.9996,                   1,               0.995,             0.86069,            0.009457,            0.003284,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.017939,           0.0093819,                   0,              0.9996,                   1,               0.995,             0.87827,           0.0076326,           0.0033034,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.018956,            0.010219,                   0,             0.99958,                   1,               0.995,             0.86728,            0.008027,           0.0033574,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.021338,            0.010141,                   0,             0.99958,                   1,               0.995,              0.8477,           0.0090118,           0.0034305,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.017422,             0.01005,                   0,             0.99951,                   1,               0.995,             0.87518,           0.0077087,           0.0032662,                   0,           0.0077824,           0.0077824,           0.0077824
